Atom_Index,Y_Position_px,X_Position_px,Defect_Class
1,82.0,739.0,4.0
2,608.0,568.0,1.0
3,772.0,841.0,3.0
4,985.0,458.0,1.0
6,510.0,407.0,1.0
7,75.0,527.0,1.0
8,963.0,161.0,3.0
9,180.0,906.0,1.0
10,297.0,357.0,1.0
11,37.0,565.0,4.0
12,99.0,377.0,1.0
13,58.0,496.0,1.0
14,137.0,693.0,3.0
15,634.0,712.0,3.0
16,180.0,140.0,1.0
17,60.0,456.0,1.0
18,825.0,834.0,1.0
19,114.0,18.0,6.0
21,116.0,408.0,1.0
22,395.0,170.0,1.0
23,764.0,983.0,1.0
24,147.0,509.0,1.0
25,264.0,294.0,3.0
26,142.0,198.0,1.0
27,582.0,291.0,6.0
28,36.0,585.0,3.0
29,919.0,748.0,1.0
30,576.0,100.0,1.0
31,151.0,782.0,4.0
32,491.0,766.0,1.0
33,71.0,588.0,3.0
34,761.0,666.0,1.0
35,49.0,716.0,1.0
37,93.0,871.0,1.0
38,113.0,822.0,4.0
39,755.0,810.0,3.0
40,193.0,250.0,1.0
41,632.0,16.0,1.0
42,75.0,507.0,1.0
43,707.0,674.0,3.0
44,62.0,415.0,1.0
45,114.0,448.0,3.0
46,604.0,987.0,1.0
47,887.0,664.0,3.0
48,25.0,435.0,1.0
49,928.0,941.0,3.0
50,73.0,548.0,1.0
51,790.0,832.0,4.0
52,906.0,990.0,1.0
53,549.0,267.0,1.0
54,873.0,557.0,3.0
55,171.0,361.0,1.0
56,907.0,879.0,1.0
57,367.0,229.0,1.0
58,146.0,550.0,1.0
59,25.0,415.0,1.0
60,147.0,530.0,1.0
61,900.0,757.0,1.0
62,877.0,500.0,1.0
63,503.0,437.0,1.0
64,985.0,91.0,1.0
65,40.0,858.0,3.0
66,23.0,474.0,3.0
68,20.0,536.0,3.0
69,123.0,57.0,1.0
70,60.0,809.0,1.0
71,418.0,302.0,1.0
72,152.0,238.0,1.0
73,154.0,703.0,3.0
74,556.0,871.0,1.0
75,20.0,555.0,5.0
76,134.0,247.0,1.0
77,799.0,134.0,1.0
78,456.0,744.0,1.0
79,55.0,556.0,1.0
80,827.0,413.0,3.0
81,123.0,509.0,1.0
82,696.0,437.0,1.0
83,107.0,27.0,1.0
84,635.0,254.0,1.0
85,55.0,577.0,1.0
86,208.0,605.0,1.0
87,371.0,168.0,1.0
88,765.0,92.0,1.0
89,556.0,779.0,1.0
90,193.0,553.0,1.0
91,1008.0,1007.0,1.0
92,91.0,558.0,1.0
94,111.0,530.0,1.0
95,779.0,923.0,1.0
96,938.0,180.0,1.0
97,42.0,1000.0,1.0
99,688.0,949.0,1.0
100,779.0,902.0,1.0
101,313.0,236.0,1.0
102,176.0,89.0,1.0
103,68.0,890.0,1.0
104,423.0,202.0,1.0
105,247.0,566.0,1.0
106,622.0,843.0,1.0
107,133.0,792.0,3.0
108,926.0,869.0,1.0
109,106.0,498.0,1.0
111,422.0,222.0,1.0
112,306.0,770.0,1.0
113,483.0,56.0,1.0
114,89.0,17.0,1.0
115,901.0,197.0,1.0
117,349.0,964.0,1.0
118,119.0,569.0,1.0
119,774.0,667.0,1.0
120,315.0,942.0,1.0
121,245.0,173.0,1.0
123,221.0,303.0,1.0
124,269.0,25.0,1.0
125,785.0,63.0,1.0
126,142.0,68.0,1.0
128,157.0,884.0,1.0
129,332.0,206.0,1.0
130,987.0,253.0,1.0
131,190.0,594.0,1.0
132,273.0,728.0,1.0
133,367.0,249.0,1.0
134,798.0,154.0,1.0
135,88.0,56.0,1.0
136,60.0,324.0,1.0
137,657.0,642.0,3.0
138,267.0,44.0,1.0
139,996.0,112.0,1.0
140,448.0,424.0,1.0
141,223.0,262.0,1.0
142,204.0,291.0,1.0
143,68.0,84.0,1.0
145,552.0,99.0,1.0
146,77.0,355.0,1.0
147,947.0,20.0,1.0
148,348.0,258.0,1.0
149,138.0,914.0,1.0
151,642.0,814.0,1.0
152,151.0,279.0,1.0
153,187.0,260.0,1.0
154,551.0,139.0,1.0
155,125.0,38.0,1.0
156,441.0,213.0,1.0
157,293.0,306.0,1.0
158,88.0,508.0,1.0
160,756.0,385.0,6.0
161,58.0,365.0,1.0
162,244.0,585.0,1.0
163,697.0,416.0,1.0
164,744.0,182.0,1.0
165,779.0,184.0,1.0
166,225.0,969.0,1.0
167,678.0,426.0,1.0
168,810.0,646.0,1.0
169,827.0,93.0,1.0
170,466.0,435.0,1.0
171,88.0,487.0,1.0
172,227.0,162.0,1.0
173,818.0,863.0,1.0
174,307.0,750.0,1.0
175,785.0,801.0,1.0
176,208.0,958.0,1.0
177,574.0,768.0,1.0
178,153.0,946.0,1.0
179,915.0,250.0,1.0
180,204.0,271.0,1.0
181,51.0,55.0,1.0
182,52.0,15.0,1.0
183,935.0,220.0,1.0
184,32.0,64.0,1.0
185,132.0,268.0,1.0
