Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity,Element,File_ID
0,1018.0,520.0,12.083,19.0263,20.025,17.0448,266.32,27.46,152.69,5.609,1,5
1,82.0,739.0,11.0454,18.1108,18.7883,15.9815,249.71,88.85,149.6,5.5711,3,5
2,608.0,568.0,11.7047,12.0,13.0384,12.2477,191.37,109.98,127.55,4.6528,1,5
3,772.0,841.0,12.2066,12.53,20.0,14.9122,233.0,116.4,145.01,4.697,1,5
4,985.0,458.0,12.0416,12.53,13.4164,12.6627,197.85,123.37,111.8,5.1175,3,5
5,365.0,11.0,10.0,11.4018,13.0384,11.4801,179.38,105.26,131.27,4.7186,3,5
6,510.0,407.0,11.1803,11.4018,13.4164,11.9995,187.49,138.18,106.26,4.5522,1,5
7,75.0,527.0,12.0416,12.2066,12.2066,12.1516,189.87,120.23,129.76,5.1439,3,5
8,963.0,161.0,11.4018,11.7047,19.7231,14.2765,223.07,122.14,97.41,5.2226,1,5
9,180.0,906.0,12.0416,12.2066,13.0,12.4161,194.0,120.23,117.38,4.7281,1,5
10,297.0,357.0,9.434,12.0,13.4164,11.6168,181.51,122.01,121.43,4.9225,3,5
11,37.0,565.0,11.0454,19.0263,19.7231,16.5982,259.35,92.18,154.73,4.9202,3,5
12,99.0,377.0,10.0,11.0,13.0,11.3333,177.08,126.87,120.51,4.8947,3,5
13,58.0,496.0,11.1803,11.4018,13.0,11.8607,185.32,138.18,102.32,4.6344,1,5
14,137.0,693.0,12.0416,12.53,19.0263,14.5326,227.07,123.37,97.78,4.6876,1,5
15,634.0,712.0,12.53,13.6015,18.3576,14.8297,231.71,115.36,147.97,4.7032,1,5
16,180.0,140.0,10.6301,11.0454,12.083,11.2529,175.83,136.38,114.37,5.0181,3,5
17,60.0,456.0,10.8167,12.0416,13.0384,11.9656,186.96,128.45,113.84,4.9503,3,5
18,825.0,834.0,11.4018,12.083,13.0,12.1616,190.03,117.68,127.87,4.841,3,5
19,114.0,18.0,11.4018,13.4164,15.0,13.2727,207.39,115.56,142.13,4.3687,3,5
20,7.0,424.0,9.4868,11.4018,13.0,11.2962,176.5,146.31,108.43,4.6165,3,5
21,116.0,408.0,11.4018,12.0,12.53,11.9772,187.14,127.87,113.51,4.8594,3,5
22,395.0,170.0,11.7047,12.0416,12.2066,11.9843,187.25,114.75,125.02,5.0595,1,5
23,764.0,983.0,11.1803,11.6619,12.0416,11.6279,181.69,122.47,111.8,4.6675,3,5
24,147.0,509.0,11.1803,11.6619,14.0357,12.2926,192.07,122.47,120.65,4.9935,1,5
25,264.0,294.0,11.4018,11.6619,19.7231,14.2622,222.85,111.16,97.41,4.6657,3,5
26,142.0,198.0,10.6301,12.1655,13.0,11.9319,186.44,140.65,116.19,4.5588,3,5
27,582.0,291.0,12.083,14.3178,16.1555,14.1855,221.65,143.46,87.36,4.7845,1,5
28,36.0,585.0,14.0357,14.4222,20.025,16.161,252.51,119.6,88.78,4.6329,1,5
29,919.0,748.0,10.8167,12.0,12.083,11.6332,181.77,123.69,121.87,4.6537,3,5
30,576.0,100.0,12.083,12.53,13.0384,12.5505,196.1,126.95,118.84,4.6486,1,5
31,151.0,782.0,10.0,19.105,19.2354,16.1135,251.77,42.88,98.97,4.4461,3,5
32,491.0,766.0,12.0416,13.0384,13.4164,12.8321,200.5,117.71,121.33,4.3268,1,5
33,71.0,588.0,12.2066,13.0384,19.2354,14.8268,231.67,112.54,82.91,4.6416,1,5
34,761.0,666.0,11.6619,12.083,13.0384,12.2611,191.58,124.59,116.57,4.5609,3,5
35,49.0,716.0,12.2066,13.0,14.0357,13.0807,204.39,122.39,120.91,4.7663,1,5
36,269.0,6.0,11.6619,12.0,18.7883,14.1501,221.09,120.96,95.76,4.0008,1,5
37,93.0,871.0,11.6619,12.0,12.083,11.915,186.17,120.96,124.59,4.6471,1,5
38,113.0,822.0,12.0416,19.0263,19.2354,16.7678,262.0,97.78,156.87,4.2934,1,5
39,755.0,810.0,11.0454,11.4018,18.7883,13.7451,214.77,122.68,30.4,4.576,1,5
40,193.0,250.0,11.6619,12.083,13.0,12.2483,191.38,124.59,120.96,4.897,1,5
41,632.0,16.0,10.8167,12.0416,12.083,11.6471,181.99,118.93,121.87,4.3346,3,5
42,75.0,507.0,12.2066,13.0384,14.3178,13.1876,206.06,120.59,120.23,4.7984,1,5
43,707.0,674.0,11.4018,13.1529,20.0,14.8516,232.06,119.13,142.13,4.1823,1,5
44,62.0,415.0,10.2956,11.0,12.2066,11.1674,174.49,119.05,115.95,4.895,3,5
45,114.0,448.0,9.8489,13.0,20.025,14.2913,223.3,113.96,153.18,4.7422,3,5
46,604.0,987.0,11.4018,12.083,13.0384,12.1744,190.23,117.68,132.27,4.5038,1,5
47,887.0,664.0,10.4403,12.2066,20.0998,14.2489,222.64,128.31,157.59,4.8366,3,5
48,25.0,435.0,12.083,12.2066,13.0,12.4299,194.22,120.56,114.44,4.6939,1,5
49,928.0,941.0,11.6619,13.6015,19.2354,14.8329,231.76,113.01,93.07,4.3132,3,5
50,73.0,548.0,11.0454,12.083,12.2066,11.7783,184.04,109.25,130.19,4.8442,3,5
51,790.0,832.0,11.6619,18.868,19.0,16.51,257.97,152.97,30.96,4.6399,1,5
52,906.0,990.0,11.1803,13.0384,13.4164,12.5451,196.02,120.96,126.87,4.5549,3,5
53,549.0,267.0,10.8167,12.0,13.0384,11.9517,186.75,123.69,113.84,4.5251,1,5
54,873.0,557.0,10.7703,13.9284,18.0,14.2329,222.39,132.84,68.2,4.2629,1,5
55,171.0,361.0,12.0,12.53,13.0,12.51,195.47,118.61,112.62,4.5748,3,5
56,907.0,879.0,10.8167,12.083,13.0,11.9666,186.98,121.87,123.69,4.2777,3,5
57,367.0,229.0,11.6619,12.0416,12.8062,12.1699,190.15,125.73,110.38,4.1609,3,5
58,146.0,550.0,11.0,12.8062,13.0384,12.2816,191.9,128.66,122.47,4.9402,3,5
59,25.0,415.0,10.2956,13.0,13.0,12.0985,189.04,119.05,128.33,5.0202,3,5
60,147.0,530.0,11.0454,12.0416,12.53,11.8723,185.5,136.83,113.42,4.8946,1,5
61,900.0,757.0,11.1803,11.6619,13.0,11.9474,186.68,122.47,116.57,4.7204,3,5
62,877.0,500.0,9.2195,11.7047,13.0384,11.3209,176.89,122.51,16.93,4.4134,1,5
63,503.0,437.0,11.6619,12.0416,12.083,11.9288,186.39,116.2,124.59,4.2277,3,5
64,985.0,91.0,11.1803,12.1655,12.2066,11.8508,185.17,107.1,118.44,5.239,1,5
65,40.0,858.0,11.4018,12.53,19.7231,14.5516,227.37,113.51,97.41,4.4563,3,5
66,23.0,474.0,12.1655,12.2066,19.0,14.4574,225.9,115.53,99.46,4.7594,1,5
67,691.0,1019.0,10.0,18.0,19.6977,15.8992,248.43,90.0,23.96,5.2587,3,5
68,20.0,536.0,11.1803,13.0384,17.0,13.7396,214.68,112.17,91.51,4.4694,1,5
69,123.0,57.0,11.0,12.0416,13.8924,12.3113,192.36,131.63,120.26,4.1356,3,5
70,60.0,809.0,12.083,12.2066,13.0,12.4299,194.22,120.56,114.44,4.6257,3,5
71,418.0,302.0,11.6619,12.0,12.53,12.064,188.5,120.96,120.43,4.343,1,5
72,152.0,238.0,11.0,12.53,12.8062,12.1121,189.25,118.61,128.66,4.3531,3,5
73,154.0,703.0,12.083,13.1529,19.0263,14.7541,230.53,105.7,152.54,4.4448,1,5
74,556.0,871.0,12.0,12.2066,13.4164,12.541,195.95,124.99,116.57,4.247,3,5
75,20.0,555.0,18.3576,18.6011,19.0,18.6529,291.45,65.61,119.36,4.6348,1,5
76,134.0,247.0,11.1803,11.4018,13.0,11.8607,185.32,115.56,116.57,4.304,3,5
77,799.0,134.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,4.6503,3,5
78,456.0,744.0,11.6619,12.083,13.1529,12.2993,192.18,124.59,112.22,4.5721,1,5
79,55.0,556.0,11.1803,12.083,12.2066,11.8233,184.74,124.75,114.69,4.7934,1,5
80,827.0,413.0,11.1803,12.53,17.0294,13.5799,212.19,108.31,103.67,4.302,1,5
81,123.0,509.0,12.0416,12.53,12.8062,12.4593,194.68,123.37,123.9,4.7522,1,5
82,696.0,437.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,3.9092,1,5
83,107.0,27.0,11.4018,11.6619,13.0,12.0212,187.83,111.16,127.88,4.2214,3,5
84,635.0,254.0,12.083,13.0384,13.0384,12.72,198.75,123.08,118.84,4.198,1,5
85,55.0,577.0,9.0554,10.2956,13.0384,10.7965,168.69,112.71,128.81,4.8123,3,5
86,208.0,605.0,12.0,12.083,13.0384,12.3738,193.34,114.44,122.47,4.3157,3,5
87,371.0,168.0,11.6619,12.0416,12.53,12.0778,188.72,116.2,120.43,4.1518,3,5
88,765.0,92.0,12.0416,12.083,12.2066,12.1104,189.22,119.21,120.23,4.2763,3,5
89,556.0,779.0,11.6619,12.53,13.0384,12.4101,193.91,120.43,116.57,3.7793,3,5
90,193.0,553.0,11.6619,12.1655,13.0384,12.2886,192.01,130.43,116.57,4.0722,3,5
91,1008.0,1007.0,11.6619,12.1655,12.2066,12.0113,187.68,130.43,114.04,4.1361,3,5
92,91.0,558.0,11.0,11.6619,13.0384,11.9001,185.94,120.96,122.47,4.8767,3,5
93,1017.0,43.0,12.0416,19.0,20.025,17.0222,265.97,94.76,88.1,4.3888,1,5
94,111.0,530.0,10.8167,11.0454,13.4164,11.7595,183.74,128.88,119.74,4.6389,1,5
95,779.0,923.0,11.6619,12.0416,12.53,12.0778,188.72,125.73,120.43,4.14,3,5
96,938.0,180.0,11.6619,12.2066,13.1529,12.3405,192.82,114.04,129.71,4.9162,3,5
97,42.0,1000.0,12.0416,12.53,12.8062,12.4593,194.68,123.37,123.9,3.952,1,5
98,698.0,10.0,9.2195,11.6619,13.1529,11.3448,177.26,99.64,130.65,4.1149,3,5
99,688.0,949.0,11.0,12.2066,13.0384,12.0817,188.78,124.99,122.47,4.0689,3,5
100,779.0,902.0,11.0454,11.6619,12.2066,11.6379,181.84,126.16,119.8,4.0548,3,5
101,313.0,236.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,4.0331,1,5
102,176.0,89.0,11.4018,12.0416,13.0384,12.1606,190.01,132.64,109.65,4.0005,3,5
103,68.0,890.0,11.0454,11.6619,13.6015,12.1029,189.11,126.16,120.83,4.3209,3,5
104,423.0,202.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,4.1775,1,5
105,247.0,566.0,10.7703,12.53,13.0,12.1001,189.06,129.59,111.8,5.5138,3,5
106,622.0,843.0,11.0,11.6619,12.2066,11.6228,181.61,120.96,124.99,4.038,3,5
107,133.0,792.0,11.1803,11.4018,19.7231,14.1017,220.34,115.56,147.03,4.327,3,5
108,926.0,869.0,12.083,12.2066,13.0384,12.4427,194.42,120.56,110.05,4.0459,1,5
109,106.0,498.0,11.1803,12.0416,12.2066,11.8095,184.52,121.33,118.44,4.5061,3,5
110,9.0,959.0,12.2066,12.53,20.025,14.9205,233.13,116.4,147.87,3.6872,1,5
111,422.0,222.0,11.0,11.4018,12.53,11.6439,181.94,127.88,118.61,4.085,3,5
112,306.0,770.0,12.2066,12.53,13.0384,12.5916,196.74,116.4,120.59,3.8013,1,5
113,483.0,56.0,11.4018,12.0,12.53,11.9772,187.14,127.88,113.51,4.2079,1,5
114,89.0,17.0,11.1803,11.4018,12.0,11.5274,180.12,115.56,116.57,4.1111,1,5
115,901.0,197.0,11.4018,12.6491,13.1529,12.4013,193.77,123.69,119.13,4.732,3,5
116,7.0,999.0,12.083,12.2066,19.7231,14.6709,229.23,120.56,96.02,3.5219,1,5
117,349.0,964.0,11.6619,12.0,12.2066,11.9562,186.81,120.96,114.04,4.2587,3,5
118,119.0,569.0,12.0,12.53,12.8062,12.4454,194.46,118.61,128.66,4.0896,1,5
119,774.0,667.0,11.1803,12.53,13.0384,12.2496,191.4,124.82,120.96,4.5307,3,5
120,315.0,942.0,11.6619,12.083,13.0384,12.2611,191.58,124.59,125.36,4.1593,1,5
121,245.0,173.0,10.8167,12.53,13.0384,12.1283,189.51,117.7,119.29,4.1722,3,5
122,1015.0,83.0,10.7703,11.1803,12.1655,11.3721,177.69,131.63,121.26,4.566,3,5
123,221.0,303.0,11.6619,12.0416,12.53,12.0778,188.72,125.73,120.43,4.1575,3,5
124,269.0,25.0,10.8167,12.083,13.0384,11.9794,187.18,121.87,128.09,3.9238,3,5
125,785.0,63.0,10.7703,11.6619,12.0416,11.4913,179.55,127.23,116.57,4.1938,3,5
126,142.0,68.0,11.4018,12.0416,12.083,11.8421,185.03,132.64,117.68,3.813,3,5
127,1018.0,23.0,11.0,18.0278,19.7231,16.2503,253.91,93.18,30.47,4.4506,3,5
128,157.0,884.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,4.2483,1,5
129,332.0,206.0,11.0,11.4018,13.0384,11.8134,184.58,127.88,122.47,4.1393,3,5
130,987.0,253.0,11.6619,12.0416,13.0384,12.2473,191.36,125.73,116.57,4.4478,3,5
131,190.0,594.0,11.1803,12.53,13.6015,12.4373,194.33,128.92,115.72,3.964,3,5
132,273.0,728.0,12.0416,12.083,12.53,12.2182,190.91,119.21,113.85,3.8622,1,5
133,367.0,249.0,11.6619,12.0416,12.083,11.9288,186.39,116.2,124.59,4.2909,1,5
134,798.0,154.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,4.6884,1,5
135,88.0,56.0,11.6619,12.2066,13.0,12.2895,192.02,114.04,120.96,3.9767,1,5
136,60.0,324.0,11.6619,12.083,13.0,12.2483,191.38,124.59,120.96,3.9984,3,5
137,657.0,642.0,12.0416,13.4164,18.2483,14.5688,227.64,111.8,147.83,4.3184,1,5
138,267.0,44.0,10.6301,11.0454,13.0384,11.5713,180.8,125.99,106.34,3.9286,3,5
139,996.0,112.0,12.0416,12.083,12.53,12.2182,190.91,119.21,113.85,5.0699,1,5
140,448.0,424.0,12.1655,12.53,12.8062,12.5006,195.32,128.07,119.2,4.0878,1,5
141,223.0,262.0,12.0416,12.2066,13.4164,12.5549,196.17,120.23,121.33,3.9994,3,5
142,204.0,291.0,11.4018,12.0416,12.083,11.8421,185.03,123.11,117.68,3.896,3,5
143,68.0,84.0,10.8167,12.0416,13.8924,12.2502,191.41,128.45,116.05,3.8846,1,5
144,168.0,1018.0,12.0,12.2066,20.025,14.7438,230.37,124.99,92.86,3.7571,3,5
145,552.0,99.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,4.0167,3,5
146,77.0,355.0,11.6619,12.083,14.0357,12.5935,196.77,124.59,116.88,4.1005,3,5
147,947.0,20.0,11.1803,11.4018,12.0416,11.5412,180.33,115.56,121.33,4.6857,1,5
148,348.0,258.0,11.0,12.2066,12.53,11.9122,186.13,124.99,118.61,3.9816,3,5
149,138.0,914.0,12.083,12.2066,13.0384,12.4427,194.42,120.56,118.84,4.4587,1,5
150,143.0,9.0,9.2195,12.0416,13.0384,11.4332,178.64,144.16,98.13,3.8317,3,5
