Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,466.00,393.00,12.0416,12.0830,12.2066,12.1104,189.22,119.21,120.23,8.2966
1,186.00,258.00,11.4018,13.6015,13.8924,12.9652,202.58,122.36,134.49,8.3444
2,237.00,276.00,11.1803,12.6491,12.7279,12.1858,190.40,118.74,124.70,8.3221
3,457.00,277.00,12.0416,12.2066,13.4164,12.5549,196.17,120.23,121.33,8.5446
4,479.00,95.00,12.0000,13.6015,19.2094,14.9369,233.39,107.10,141.34,8.4097
5,347.00,345.00,12.1655,13.4164,13.4536,13.0119,203.31,126.03,122.52,8.3646
6,427.00,251.00,14.5602,17.6918,17.8885,16.7135,261.15,153.24,137.49,8.1708
7,275.00,436.00,11.0000,11.1803,12.3693,11.5166,179.95,116.57,104.04,8.7955
8,35.00,483.00,11.7047,12.2066,13.0384,12.3166,192.45,125.02,114.38,8.8277
9,338.00,488.00,12.0416,13.6015,18.1108,14.5846,227.88,102.34,101.10,7.8689
10,453.00,504.00,12.1655,12.2066,20.5913,14.9878,234.18,115.53,141.48,7.6195
11,487.00,270.00,12.1655,12.5300,12.8062,12.5006,195.32,128.07,119.20,7.4993
12,501.00,323.00,10.8167,12.0416,12.0830,11.6471,181.99,118.93,121.87,7.7495
13,297.00,176.00,12.0416,12.5300,12.8062,12.4593,194.68,123.37,123.90,7.8126
14,295.00,338.00,12.0830,12.8062,13.1529,12.6807,198.14,116.90,123.19,8.4542
15,494.00,406.00,12.0416,12.2066,12.5300,12.2594,191.55,120.23,123.37,7.0373
16,492.00,446.00,12.1655,12.2066,12.5300,12.3007,192.20,115.53,128.07,7.4505
17,454.00,483.00,11.6619,12.0416,12.5300,12.0778,188.72,116.20,120.43,7.4497
18,491.00,466.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,7.1078
19,185.00,290.00,13.0000,13.3417,14.0357,13.4591,210.30,77.01,175.91,6.8959
20,485.00,290.00,12.0416,12.0416,12.5300,12.2044,190.69,126.87,123.37,7.2288
21,242.00,179.00,11.4018,12.0416,13.0000,12.1478,189.81,123.11,119.51,7.6650
22,499.00,344.00,12.0416,12.2066,13.0000,12.4161,194.00,120.23,117.38,7.2542
23,419.00,421.00,12.7279,13.4536,13.4536,13.2117,206.43,176.99,93.01,6.8967
24,67.00,318.00,12.5300,13.4164,13.8924,13.2796,207.49,92.05,91.65,6.8551
25,490.00,249.00,11.4018,12.0416,12.0830,11.8421,185.03,123.11,117.68,7.1597
26,464.00,83.00,11.0454,12.8062,15.0000,12.9505,202.35,146.53,121.68,7.8625
27,435.00,491.00,11.0000,11.4018,12.5300,11.6439,181.94,127.88,118.61,7.1931
28,473.00,237.00,12.0830,12.1655,12.8062,12.3516,192.99,123.91,116.90,6.8114
29,489.00,116.00,11.4018,13.0000,13.0384,12.4801,195.00,119.51,123.48,6.8984
30,313.00,504.00,12.0416,12.0416,19.8494,14.6442,228.82,126.87,36.15,6.6384
31,206.00,174.00,12.0416,12.0416,12.3693,12.1508,189.86,126.87,124.33,7.6206
32,418.00,441.00,12.7279,13.6015,13.6015,13.3103,207.97,98.97,81.03,6.6172
33,463.00,341.00,12.0416,12.2066,13.4164,12.5549,196.17,120.23,121.33,7.6157
34,440.00,411.00,12.0000,12.2066,12.5300,12.2455,191.34,124.99,118.61,6.9398
35,164.00,299.00,11.7047,12.0416,12.1655,11.9706,187.04,118.38,119.45,6.7975
36,415.00,462.00,12.7279,13.0384,13.4536,13.0733,204.27,102.53,86.99,6.5698
37,486.00,137.00,12.0416,12.0416,12.0830,12.0554,188.37,126.87,113.92,6.7368
38,211.00,239.00,13.4164,13.4164,13.6015,13.4781,210.60,180.00,99.46,6.5130
39,247.00,475.00,12.0830,12.1655,12.2066,12.1517,189.87,123.91,120.56,7.2601
40,158.00,339.00,12.0416,13.0000,13.1529,12.7315,198.93,115.75,122.89,6.6361
41,335.00,5.00,9.4868,13.0384,19.0000,13.8417,216.28,112.83,71.57,6.3338
42,473.00,454.00,12.0416,12.2066,12.5300,12.2594,191.55,120.23,123.37,6.5740
43,11.00,61.00,8.0000,12.0830,12.2066,10.7632,168.18,114.44,124.99,6.7763
44,169.00,278.00,12.0416,12.3693,13.0384,12.4831,195.05,170.73,90.36,6.6100
45,420.00,400.00,12.8062,13.6015,14.8661,13.7579,214.97,105.31,176.39,6.3189
46,374.00,360.00,12.0416,12.1655,12.6491,12.2854,191.96,122.17,119.93,6.7286
47,62.00,359.00,13.0384,13.4536,13.4536,13.3152,208.05,105.54,80.48,6.4561
48,227.00,483.00,12.0830,12.1655,12.8062,12.3516,192.99,123.91,116.90,7.1025
