Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity
0,658.00,24.00,5.8310,6.3246,8.6023,6.9193,216.23,130.60,156.50,0.4753
1,838.00,420.00,6.4031,7.0000,9.2195,7.5409,235.65,128.66,153.87,0.3433
2,317.00,170.00,4.0000,7.0711,7.2801,6.1171,191.16,81.87,164.05,0.4781
3,953.00,175.00,5.0990,5.8310,6.4031,5.7777,180.55,132.27,130.03,0.3989
4,840.00,137.00,5.8310,6.0828,7.0711,6.3283,197.76,130.43,104.04,0.3492
5,988.00,364.00,5.0000,5.6569,6.3246,5.6605,176.89,135.00,108.43,0.3406
6,249.00,912.00,5.0000,5.6569,6.3246,5.6605,176.89,135.00,108.43,0.3313
7,286.00,216.00,5.3852,6.0000,7.0711,6.1521,192.25,111.80,113.20,0.3552
8,497.00,85.00,4.4721,6.0828,8.5440,6.3663,198.95,126.03,6.01,0.4845
9,492.00,886.00,6.7082,8.2462,10.0499,8.3348,260.46,139.40,57.72,0.2918
10,726.00,34.00,5.0000,6.0000,7.6158,6.2053,193.91,126.87,119.93,0.2854
11,126.00,851.00,5.0000,6.3246,9.8995,7.0747,221.08,124.70,81.87,0.3624
12,953.00,463.00,5.0990,5.8310,6.0828,5.6709,177.22,109.65,110.77,0.3451
13,257.00,636.00,5.3852,6.4031,9.4340,7.0741,221.07,163.14,53.81,0.3763
14,686.00,778.00,7.2111,7.2801,9.4868,7.9927,249.77,17.74,74.74,0.3490
15,932.00,230.00,4.0000,4.4721,6.4031,4.9584,154.95,116.57,128.66,0.3417
16,321.00,170.00,4.0000,5.0990,7.6158,5.5716,174.11,168.69,66.80,0.5000
17,952.00,134.00,5.0000,6.7082,7.8102,6.5062,203.32,26.57,140.19,0.3838
18,318.00,597.00,6.4031,7.2801,9.0554,7.5795,236.86,125.39,32.32,0.3978
19,187.00,567.00,6.3246,7.0711,7.2111,6.8689,214.65,116.57,127.88,0.3415
20,890.00,540.00,6.0000,9.2195,9.4868,8.2355,257.36,102.53,161.57,0.2997
