Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,466.0,393.0,1.0
1,186.0,258.0,1.0
2,237.0,276.0,1.0
3,457.0,277.0,1.0
4,479.0,95.0,3.0
5,347.0,345.0,1.0
6,427.0,251.0,4.0
7,275.0,436.0,1.0
8,35.0,483.0,1.0
9,338.0,488.0,3.0
11,487.0,270.0,1.0
13,297.0,176.0,1.0
14,295.0,338.0,1.0
15,494.0,406.0,1.0
16,492.0,446.0,1.0
17,454.0,483.0,1.0
18,491.0,466.0,1.0
19,185.0,290.0,1.0
20,485.0,290.0,1.0
21,242.0,179.0,1.0
22,499.0,344.0,1.0
23,419.0,421.0,1.0
24,67.0,318.0,1.0
25,490.0,249.0,1.0
26,464.0,83.0,6.0
27,435.0,491.0,1.0
28,473.0,237.0,1.0
29,489.0,116.0,1.0
31,206.0,174.0,1.0
32,418.0,441.0,1.0
33,463.0,341.0,1.0
34,440.0,411.0,1.0
35,164.0,299.0,1.0
36,415.0,462.0,1.0
37,486.0,137.0,1.0
38,211.0,239.0,1.0
39,247.0,475.0,1.0
40,158.0,339.0,1.0
42,473.0,454.0,1.0
44,169.0,278.0,1.0
45,420.0,400.0,6.0
46,374.0,360.0,1.0
47,62.0,359.0,1.0
48,227.0,483.0,1.0
49,84.0,487.0,1.0
50,370.0,480.0,1.0
51,154.0,360.0,1.0
53,64.0,496.0,1.0
54,412.0,270.0,1.0
55,48.0,484.0,1.0
56,99.0,363.0,1.0
57,208.0,491.0,1.0
59,39.0,119.0,5.0
60,232.0,209.0,1.0
61,116.0,376.0,1.0
62,173.0,254.0,1.0
65,102.0,342.0,1.0
66,491.0,95.0,1.0
69,228.0,253.0,1.0
70,469.0,124.0,1.0
71,200.0,418.0,1.0
72,286.0,457.0,1.0
75,35.0,430.0,1.0
76,392.0,472.0,1.0
77,108.0,301.0,1.0
78,286.0,490.0,1.0
79,249.0,224.0,1.0
81,28.0,493.0,1.0
82,196.0,204.0,1.0
83,254.0,180.0,1.0
84,376.0,459.0,1.0
85,426.0,452.0,6.0
86,441.0,391.0,1.0
87,483.0,158.0,1.0
89,450.0,287.0,1.0
90,175.0,466.0,1.0
91,342.0,66.0,1.0
92,12.0,40.0,1.0
93,81.0,202.0,1.0
95,472.0,310.0,1.0
96,404.0,313.0,1.0
98,241.0,288.0,1.0
99,43.0,244.0,1.0
100,491.0,301.0,1.0
101,80.0,371.0,1.0
102,464.0,413.0,1.0
103,499.0,436.0,1.0
104,295.0,20.0,1.0
106,397.0,365.0,3.0
107,394.0,256.0,1.0
109,397.0,450.0,1.0
111,494.0,497.0,1.0
112,486.0,364.0,1.0
113,56.0,420.0,1.0
114,469.0,353.0,1.0
115,53.0,441.0,1.0
117,16.0,440.0,1.0
119,427.0,432.0,1.0
120,481.0,426.0,1.0
122,393.0,384.0,6.0
123,489.0,322.0,1.0
124,80.0,224.0,1.0
125,463.0,433.0,1.0
126,452.0,319.0,1.0
127,496.0,385.0,1.0
129,442.0,462.0,1.0
130,410.0,430.0,1.0
