Atom_Index,Y_Position_px,X_Position_px,Defect_Class
0,309.0,175.0,4.0
1,619.0,420.0,5.0
2,869.0,161.0,3.0
3,613.0,632.0,3.0
4,937.0,124.0,4.0
5,575.0,799.0,3.0
6,647.0,438.0,4.0
7,85.0,301.0,1.0
9,260.0,993.0,1.0
10,369.0,638.0,5.0
11,546.0,315.0,3.0
12,359.0,957.0,6.0
13,109.0,435.0,3.0
14,34.0,182.0,6.0
15,409.0,588.0,3.0
16,530.0,599.0,1.0
17,234.0,595.0,1.0
18,907.0,439.0,3.0
19,266.0,417.0,1.0
21,121.0,116.0,1.0
22,490.0,444.0,1.0
23,272.0,478.0,1.0
24,739.0,704.0,1.0
25,922.0,691.0,1.0
27,79.0,239.0,1.0
28,995.0,652.0,1.0
29,525.0,642.0,1.0
30,305.0,550.0,1.0
31,743.0,404.0,1.0
32,316.0,238.0,1.0
33,40.0,436.0,4.0
34,738.0,788.0,1.0
35,522.0,682.0,1.0
36,813.0,704.0,1.0
37,505.0,191.0,1.0
38,278.0,393.0,1.0
39,812.0,745.0,1.0
41,884.0,710.0,1.0
42,308.0,502.0,1.0
43,615.0,177.0,1.0
44,77.0,417.0,4.0
45,23.0,871.0,6.0
46,738.0,746.0,1.0
47,886.0,667.0,1.0
48,849.0,728.0,1.0
49,342.0,524.0,1.0
50,991.0,736.0,1.0
51,236.0,505.0,1.0
53,712.0,382.0,1.0
54,581.0,155.0,1.0
55,273.0,575.0,1.0
56,492.0,532.0,1.0
57,164.0,410.0,1.0
58,233.0,551.0,1.0
59,124.0,181.0,1.0
60,959.0,672.0,1.0
61,688.0,132.0,1.0
62,275.0,439.0,1.0
63,760.0,132.0,1.0
64,317.0,378.0,1.0
65,970.0,424.0,1.0
66,921.0,648.0,1.0
67,502.0,234.0,1.0
68,46.0,212.0,1.0
71,95.0,541.0,1.0
72,994.0,693.0,1.0
73,320.0,334.0,1.0
74,198.0,669.0,6.0
75,678.0,356.0,1.0
76,713.0,904.0,3.0
77,98.0,456.0,1.0
78,217.0,738.0,6.0
79,268.0,523.0,1.0
81,142.0,166.0,1.0
82,850.0,642.0,1.0
83,594.0,696.0,1.0
84,350.0,263.0,1.0
85,71.0,71.0,1.0
86,497.0,982.0,1.0
87,566.0,623.0,1.0
88,373.0,39.0,1.0
89,546.0,131.0,1.0
90,71.0,32.0,1.0
92,317.0,640.0,1.0
93,641.0,923.0,1.0
94,421.0,975.0,1.0
95,291.0,371.0,1.0
96,381.0,539.0,1.0
97,357.0,178.0,1.0
98,436.0,861.0,1.0
99,776.0,427.0,1.0
100,604.0,608.0,1.0
101,43.0,946.0,1.0
102,484.0,658.0,1.0
103,157.0,745.0,5.0
104,220.0,971.0,1.0
105,354.0,363.0,1.0
106,615.0,928.0,1.0
107,78.0,964.0,1.0
108,862.0,353.0,1.0
109,248.0,327.0,1.0
110,389.0,288.0,1.0
111,626.0,725.0,1.0
112,57.0,561.0,1.0
113,114.0,860.0,1.0
114,332.0,547.0,1.0
115,652.0,991.0,2.0
116,58.0,479.0,1.0
117,398.0,519.0,4.0
118,354.0,221.0,1.0
119,871.0,34.0,1.0
120,458.0,1000.0,3.0
121,436.0,186.0,1.0
122,266.0,233.0,4.0
123,553.0,393.0,5.0
124,203.0,429.0,1.0
125,858.0,395.0,1.0
126,520.0,881.0,4.0
128,107.0,95.0,1.0
129,615.0,524.0,1.0
130,913.0,970.0,1.0
131,792.0,300.0,1.0
132,363.0,519.0,3.0
133,199.0,529.0,1.0
134,989.0,572.0,6.0
135,273.0,621.0,1.0
136,192.0,79.0,4.0
137,536.0,521.0,1.0
138,249.0,104.0,1.0
139,195.0,40.0,3.0
140,866.0,314.0,1.0
141,850.0,685.0,1.0
142,449.0,631.0,1.0
143,284.0,692.0,6.0
144,470.0,209.0,1.0
145,485.0,27.0,1.0
146,225.0,625.0,6.0
147,627.0,153.0,1.0
148,401.0,451.0,4.0
149,953.0,203.0,1.0
150,469.0,798.0,1.0
152,894.0,147.0,6.0
153,803.0,427.0,6.0
154,690.0,90.0,1.0
155,805.0,985.0,1.0
156,617.0,589.0,4.0
157,468.0,676.0,4.0
158,749.0,360.0,1.0
159,487.0,109.0,6.0
160,50.0,686.0,1.0
161,543.0,463.0,4.0
162,697.0,808.0,1.0
163,31.0,328.0,6.0
164,345.0,734.0,6.0
165,555.0,761.0,1.0
166,984.0,977.0,1.0
167,810.0,450.0,1.0
168,90.0,665.0,1.0
169,734.0,985.0,1.0
170,231.0,23.0,1.0
172,591.0,741.0,1.0
173,715.0,866.0,3.0
174,269.0,969.0,6.0
175,100.0,688.0,6.0
176,769.0,471.0,1.0
177,227.0,480.0,6.0
178,654.0,244.0,6.0
179,322.0,52.0,5.0
180,133.0,710.0,4.0
181,380.0,886.0,5.0
182,232.0,907.0,3.0
183,175.0,523.0,1.0
184,777.0,215.0,6.0
185,999.0,105.0,1.0
186,609.0,819.0,3.0
187,268.0,48.0,3.0
